
starting calculations for phase 1
-0.4000000000, 1.0000000000, Maximum iterations reached in field optimization, time: 14
-0.3900000000, 1.0000000000, Maximum iterations reached in field optimization, time: 22
-0.3800000000, 1.0000000000, Maximum iterations reached in field optimization, time: 12
-0.3700000000, 1.0000000000, Maximum iterations reached in field optimization, time: 23
-0.3600000000, 1.0000000000, Maximum iterations reached in field optimization, time: 19
-0.3500000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3400000000, 1.0000000000, Maximum iterations reached in field optimization, time: 16
-0.3300000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3200000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3100000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3000000000, 1.0000000000, maximum iterations reached, time: 37
-0.2900000000, 1.0000000000, maximum iterations reached, time: 30
-0.0300000000, 1.0000000000, -0.0688777301, 2, time: 2
-0.0200000000, 1.0000000000, -0.0636967236, 3, time: 3
-0.0100000000, 1.0000000000, -0.0586804406, 3, time: 3
0.0000000000, 1.0000000000, -0.0538290046, 3, time: 3
0.0100000000, 1.0000000000, -0.0491426217, 4, time: 4
0.0200000000, 1.0000000000, -0.0446215917, 3, time: 4
0.0300000000, 1.0000000000, -0.0402663332, 3, time: 3
0.0400000000, 1.0000000000, -0.0360773953, 3, time: 4
0.0500000000, 1.0000000000, -0.0320554940, 4, time: 4
0.0600000000, 1.0000000000, -0.0282015434, 4, time: 4
0.0700000000, 1.0000000000, -0.0245166983, 5, time: 4
0.0800000000, 1.0000000000, -0.0210024103, 4, time: 4
0.0900000000, 1.0000000000, -0.0176605291, 4, time: 4
0.1000000000, 1.0000000000, -0.0144933798, 4, time: 4
0.1100000000, 1.0000000000, -0.0115039565, 5, time: 5
0.1200000000, 1.0000000000, -0.0086961429, 4, time: 4
0.1300000000, 1.0000000000, -0.0060751125, 5, time: 5
0.1400000000, 1.0000000000, -0.0036479603, 5, time: 5
0.1500000000, 1.0000000000, -0.0014249308, 5, time: 6
0.1600000000, 1.0000000000, 0.0005779705, 5, time: 6
0.1700000000, 1.0000000000, 0.0023316849, 5, time: 6
0.1800000000, 1.0000000000, 0.0037525616, 4, time: 8
0.1900000000, 1.0000000000, 0.0000000019, 2, time: 21
0.2000000000, 1.0000000000, 0.0000000018, 1, time: 0
0.2100000000, 1.0000000000, 0.0000000018, 1, time: 0
0.2200000000, 1.0000000000, 0.0000000018, 1, time: 0
0.2300000000, 1.0000000000, 0.0000000018, 1, time: 0
0.2400000000, 1.0000000000, 0.0000000018, 1, time: 0
0.2500000000, 1.0000000000, 0.0000000017, 1, time: 0

starting calculations for phase 6
-0.1000000000, 1.0000000000, -0.1102898344, 7, time: 36
-0.1100000000, 1.0000000000, -0.1168594598, 4, time: 5
-0.1200000000, 1.0000000000, -0.1235984598, 4, time: 5
-0.1300000000, 1.0000000000, -0.1305071611, 4, time: 5
-0.1400000000, 1.0000000000, -0.1375859088, 4, time: 5
-0.1500000000, 1.0000000000, -0.1448350574, 4, time: 5
-0.1600000000, 1.0000000000, -0.1522549896, 4, time: 5
-0.1700000000, 1.0000000000, -0.1598460891, 5, time: 6
-0.1800000000, 1.0000000000, -0.1676087470, 3, time: 5
-0.1900000000, 1.0000000000, -0.1755433728, 3, time: 4
-0.2000000000, 1.0000000000, -0.1836503784, 4, time: 5
-0.2100000000, 1.0000000000, -0.1919301868, 4, time: 5
-0.2200000000, 1.0000000000, -0.2003832212, 4, time: 6
-0.2300000000, 1.0000000000, -0.2090099144, 4, time: 5
-0.2400000000, 1.0000000000, -0.2178107000, 3, time: 5
-0.2500000000, 1.0000000000, -0.2267860193, 5, time: 6
-0.2600000000, 1.0000000000, -0.2359363100, 4, time: 6
-0.2700000000, 1.0000000000, -0.2452620183, 5, time: 6
-0.2800000000, 1.0000000000, -0.2547635870, 4, time: 6
-0.2900000000, 1.0000000000, -0.2644414626, 4, time: 6
-0.3000000000, 1.0000000000, -0.2742960923, 4, time: 5
-0.3100000000, 1.0000000000, -0.2843279235, 4, time: 6
-0.3200000000, 1.0000000000, -0.2945373963, 3, time: 6
-0.3300000000, 1.0000000000, -0.3049249744, 5, time: 7
-0.3400000000, 1.0000000000, -0.3154910754, 3, time: 5
-0.3500000000, 1.0000000000, -0.3262361801, 4, time: 7
-0.3600000000, 1.0000000000, -0.3371607042, 4, time: 6
-0.3700000000, 1.0000000000, -0.3482650997, 4, time: 7
-0.3800000000, 1.0000000000, -0.3595498052, 4, time: 6
-0.3900000000, 1.0000000000, -0.3710152493, 3, time: 7

starting calculations for phase 6
-0.1000000000, 1.0000000000, -0.1102898344, 7, time: 35
-0.0900000000, 1.0000000000, -0.1038892753, 5, time: 5
-0.0800000000, 1.0000000000, -0.0976575106, 3, time: 5
-0.0700000000, 1.0000000000, -0.0915942777, 3, time: 5
-0.0600000000, 1.0000000000, -0.0856993505, 3, time: 4
-0.0500000000, 1.0000000000, -0.0799725477, 3, time: 4
-0.0400000000, 1.0000000000, -0.0744137141, 3, time: 4
-0.0300000000, 1.0000000000, -0.0690227543, 3, time: 3
-0.0200000000, 1.0000000000, -0.0637996086, 3, time: 4
-0.0100000000, 1.0000000000, -0.0587443033, 2, time: 3
0.0000000000, 1.0000000000, -0.0538569137, 2, time: 3
0.0100000000, 1.0000000000, -0.0491376109, 2, time: 3
0.0200000000, 1.0000000000, -0.0445866635, 2, time: 3
0.0300000000, 1.0000000000, -0.0402044559, 3, time: 4
0.0400000000, 1.0000000000, -0.0359915106, 3, time: 4
0.0500000000, 1.0000000000, -0.0319485178, 3, time: 4
0.0600000000, 1.0000000000, -0.0280763712, 3, time: 4
0.0700000000, 1.0000000000, -0.0243762137, 3, time: 4
0.0800000000, 1.0000000000, -0.0208494987, 3, time: 4
0.0900000000, 1.0000000000, -0.0174980791, 3, time: 5
0.1000000000, 1.0000000000, -0.0143243177, 4, time: 5
0.1100000000, 1.0000000000, -0.0113312606, 4, time: 5
0.1200000000, 1.0000000000, -0.0085229081, 4, time: 5
0.1300000000, 1.0000000000, -0.0059045883, 5, time: 6
0.1400000000, 1.0000000000, -0.0034837004, 5, time: 6
0.1500000000, 1.0000000000, -0.0012710175, 4, time: 7
0.1600000000, 1.0000000000, 0.0007163826, 5, time: 7
0.1700000000, 1.0000000000, 0.0024465557, 5, time: 8
0.1800000000, 1.0000000000, 0.0000000029, 3, time: 74
0.1900000000, 1.0000000000, 0.0000000030, 1, time: 0
0.2000000000, 1.0000000000, 0.0000000030, 1, time: 0
0.2100000000, 1.0000000000, 0.0000000030, 1, time: 0
0.2200000000, 1.0000000000, 0.0000000030, 1, time: 0
0.2300000000, 1.0000000000, 0.0000000030, 1, time: 0
0.2400000000, 1.0000000000, 0.0000000030, 1, time: 0
0.2500000000, 1.0000000000, 0.0000000029, 1, time: 0

starting calculations for phase 7
-0.1000000000, 1.0000000000, -0.1107771428, 7, time: 150
-0.1100000000, 1.0000000000, -0.1173513977, 4, time: 32
-0.1200000000, 1.0000000000, -0.1240944822, 5, time: 42
-0.1300000000, 1.0000000000, -0.1310067180, 6, time: 48
-0.1400000000, 1.0000000000, -0.1380884346, 5, time: 44
-0.1500000000, 1.0000000000, -0.1453399901, 6, time: 44
-0.1600000000, 1.0000000000, -0.1527617484, 6, time: 51
-0.1700000000, 1.0000000000, -0.1603540922, 4, time: 48
-0.1800000000, 1.0000000000, -0.1681174051, 5, time: 49
-0.1900000000, 1.0000000000, -0.1760520888, 5, time: 49
-0.2000000000, 1.0000000000, -0.1841585505, 4, time: 37
-0.2100000000, 1.0000000000, -0.1924372031, 4, time: 48
-0.2200000000, 1.0000000000, -0.2008884713, 6, time: 54
-0.2300000000, 1.0000000000, -0.2095127756, 4, time: 49
-0.2400000000, 1.0000000000, -0.2183105523, 4, time: 46
-0.2500000000, 1.0000000000, -0.2272822309, 4, time: 38
-0.2600000000, 1.0000000000, -0.2364282507, 4, time: 56
-0.2700000000, 1.0000000000, -0.2457490518, 4, time: 54
-0.2800000000, 1.0000000000, -0.2552450762, 4, time: 55
-0.2900000000, 1.0000000000, -0.2649167693, 5, time: 55
-0.3000000000, 1.0000000000, -0.2747645731, 6, time: 56
-0.3100000000, 1.0000000000, -0.2847889313, 5, time: 65
-0.3200000000, 1.0000000000, -0.2949902912, 5, time: 66
-0.3300000000, 1.0000000000, -0.3053690972, 5, time: 62
-0.3400000000, 1.0000000000, -0.3159257973, 5, time: 65
-0.3500000000, 1.0000000000, -0.3266608359, 7, time: 74
-0.3600000000, 1.0000000000, -0.3375746539, 6, time: 55
-0.3700000000, 1.0000000000, -0.3486676951, 5, time: 71
-0.3800000000, 1.0000000000, -0.3599404016, 5, time: 70
-0.3900000000, 1.0000000000, -0.3713932123, 5, time: 66

starting calculations for phase 7
-0.1000000000, 1.0000000000, -0.1107771428, 7, time: 150
-0.0900000000, 1.0000000000, -0.1043714221, 4, time: 36
-0.0800000000, 1.0000000000, -0.0981339619, 4, time: 33
-0.0700000000, 1.0000000000, -0.0920645152, 4, time: 32
-0.0600000000, 1.0000000000, -0.0861628660, 3, time: 29
-0.0500000000, 1.0000000000, -0.0804288361, 3, time: 27
-0.0400000000, 1.0000000000, -0.0748622848, 4, time: 28
-0.0300000000, 1.0000000000, -0.0694631160, 4, time: 29
-0.0200000000, 1.0000000000, -0.0642312869, 2, time: 25
-0.0100000000, 1.0000000000, -0.0591668159, 2, time: 20
0.0000000000, 1.0000000000, -0.0542697995, 2, time: 21
0.0100000000, 1.0000000000, -0.0495404146, 4, time: 29
0.0200000000, 1.0000000000, -0.0449789194, 3, time: 23
0.0300000000, 1.0000000000, -0.0405857101, 3, time: 24
0.0400000000, 1.0000000000, -0.0363613046, 3, time: 27
0.0500000000, 1.0000000000, -0.0323063880, 4, time: 28
0.0600000000, 1.0000000000, -0.0284218483, 3, time: 27
0.0700000000, 1.0000000000, -0.0247088155, 4, time: 29
0.0800000000, 1.0000000000, -0.0211687257, 4, time: 30
0.0900000000, 1.0000000000, -0.0178034002, 5, time: 35
0.1000000000, 1.0000000000, -0.0146151602, 4, time: 33
0.1100000000, 1.0000000000, -0.0116069972, 5, time: 36
0.1200000000, 1.0000000000, -0.0087828103, 4, time: 37
0.1300000000, 1.0000000000, -0.0061477957, 4, time: 40
