
starting calculations for phase 1
-0.4000000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3900000000, 1.0000000000, Maximum iterations reached in field optimization, time: 17
-0.3800000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3700000000, 1.0000000000, Maximum iterations reached in field optimization, time: 8
-0.3600000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3500000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3400000000, 1.0000000000, Maximum iterations reached in field optimization, time: 10
-0.3300000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3200000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3100000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3000000000, 1.0000000000, maximum iterations reached, time: 31
-0.2900000000, 1.0000000000, maximum iterations reached, time: 23
-0.2800000000, 1.0000000000, maximum iterations reached, time: 17
-0.0600000000, 1.0000000000, -0.0878762708, 2, time: 3
-0.0500000000, 1.0000000000, -0.0821018307, 3, time: 3
-0.0400000000, 1.0000000000, -0.0764932173, 2, time: 3
-0.0300000000, 1.0000000000, -0.0710503990, 2, time: 3
-0.0200000000, 1.0000000000, -0.0657733732, 3, time: 4
-0.0100000000, 1.0000000000, -0.0606622141, 3, time: 4
0.0000000000, 1.0000000000, -0.0557170613, 3, time: 4
0.0100000000, 1.0000000000, -0.0509381356, 3, time: 4
0.0200000000, 1.0000000000, -0.0463257548, 3, time: 5
0.0300000000, 1.0000000000, -0.0418803478, 3, time: 4
0.0400000000, 1.0000000000, -0.0376024765, 3, time: 4
0.0500000000, 1.0000000000, -0.0334928636, 3, time: 5
0.0600000000, 1.0000000000, -0.0295524229, 3, time: 5
0.0700000000, 1.0000000000, -0.0257823072, 3, time: 5
0.0800000000, 1.0000000000, -0.0221839591, 3, time: 5
0.0900000000, 1.0000000000, -0.0187591934, 3, time: 5
0.1000000000, 1.0000000000, -0.0155102984, 3, time: 5
0.1100000000, 1.0000000000, -0.0124401919, 3, time: 5
0.1200000000, 1.0000000000, -0.0095526413, 3, time: 5
0.1300000000, 1.0000000000, -0.0068526196, 3, time: 5
0.1400000000, 1.0000000000, -0.0043468896, 3, time: 6
0.1500000000, 1.0000000000, -0.0020450746, 3, time: 5
0.1600000000, 1.0000000000, 0.0000381182, 3, time: 6
0.1700000000, 1.0000000000, 0.0018771144, 3, time: 6
0.1800000000, 1.0000000000, 0.0034105923, 3, time: 8
0.1900000000, 1.0000000000, 0.0000000030, 3, time: 19
0.2000000000, 1.0000000000, 0.0000000030, 1, time: 0
0.2100000000, 1.0000000000, 0.0000000030, 1, time: 0
0.2200000000, 1.0000000000, 0.0000000031, 1, time: 0
0.2300000000, 1.0000000000, 0.0000000031, 1, time: 0
